,State,Year,Disease,pop_sum,std_cases_sum,rate_sum,pop_percent_change,std_percent_change,rate_percent_change
0,Alabama,1996,Chlamydia,69297632.0,351184,76675.36,0.0,0.0,0.0
1,Alabama,1996,Gonorrhea,69297632.0,351184,122120.95999999999,0.0,0.0,0.0
2,Alabama,1996,Primary and Secondary Syphilis,64966530.0,329235,3997.1999999999994,0.0,0.0,0.0
3,Alabama,1997,Chlamydia,87358700.0,422900,103767.6,0.34467240285112966,0.2844928394611752,24.96007205043531
4,Alabama,1997,Gonorrhea,87358700.0,422900,141239.2,0.0,0.0,0.36111078988046375
5,Alabama,1997,Primary and Secondary Syphilis,61151090.0,296030,2919.1399999999994,-0.30000000000000004,-0.30000000000000004,-0.9793319418405089
6,Alabama,1998,Chlamydia,88094020.0,461520,120610.19999999997,0.4405960711411685,0.559031179272371,40.31703172852278
7,Alabama,1998,Gonorrhea,88094020.0,461520,149845.80000000002,0.0,0.0,0.24239740917434882
8,Alabama,1998,Primary and Secondary Syphilis,51120368.0,299988,1896.7,-0.41970671789072633,-0.35,-0.9873423212395676
9,Alabama,1999,Chlamydia,101893243.0,539695,171647.62,0.9932024550370999,0.7990552955451551,89.49803342647756
10,Alabama,1999,Gonorrhea,93032961.0,492765,134173.41000000003,-0.08695652173913049,-0.08695652173913049,-0.2183205919196547
11,Alabama,1999,Primary and Secondary Syphilis,62021974.0,328510,1418.48,-0.33333333333333337,-0.33333333333333337,-0.9894280096182992
12,Alabama,2000,Chlamydia,106847400.0,660216,222283.68,0.72273459080809,1.0097287753797448,155.70554396255145
13,Alabama,2000,Gonorrhea,102395425.0,632707,163725.5,-0.04166666666666663,-0.04166666666666663,-0.263438953323069
14,Alabama,2000,Primary and Secondary Syphilis,42380604.0,330108,747.7199999999999,-0.5861084223245325,-0.4782608695652174,-0.9954330876986175
15,Alabama,2001,Chlamydia,84909328.0,491112,168737.66999999998,1.0034949950217795,0.48773128794212806,224.66959557053443
16,Alabama,2001,Gonorrhea,93847152.0,542808,138394.83000000002,0.10526315789473695,0.10526315789473695,-0.17982256125736462
17,Alabama,2001,Primary and Secondary Syphilis,51952693.0,336024,955.89,-0.44641161833019716,-0.38095238095238093,-0.9930930223332765
18,Alabama,2002,Chlamydia,107676192.0,621072,228164.16,1.072581531047871,0.848296550246411,237.69290399522959
19,Alabama,2002,Gonorrhea,98703176.0,569316,131543.28,-0.08333333333333337,-0.08333333333333337,-0.4234708904325728
